,ISBN,Title,Author,Authors_Number,Description,Genres,Average_Ratings,Reviews_Number,Quotes_Number,Community_Size,Pages_Number,Editions,Publication_Year,Publisher,URL,Cover_URL
204,ISBN 9772772221,موسوعة النخيل والتمور,تأليف شحاتة أحمد عبد الفتاح (تأليف),"المؤلفون
1",حقاً.. إن النخلة هبة من المولى- عز وجل- للبشرية بعطائها الزاخر الذى يمتد لأكثر من مائة عام لذلك استحقت أن تكون أسطورة الأجيال.. وقد كرم الله النخلة وعزز مكانتها وورد ذكرها في عشرين آية من آيات الذكر الحكيم، ووردت في ست عشرة سورة من سوره المباركة.وتعتبر ثمار النخيل (التمور) هي الفكهة الطازجة التي تحتل مركزاً مرموقاً في قائمة الفواكه الاستوائية وشبه الاستوائية بجانب الموالح والمانجو والموز والأناناس، كما أنها تحتل القمة في قائمة الفواكه المجففة مثل: الزبيب، والتين، والبرقوق. وتعتبر التمور من أهم الثروات القومية في عالمنا العربي بعد البترول، حيث يبلغ الإنتاج السنوي منها أكثر من 3 ملايين طن بما يعادل نحو 75% من الإنتاج العالمى للتمور.لذا يسعدني ويشرفني أن أضع بين يدى القارئ وكل من يهتم بزراعة النخيل وإنتاج التمور في العالم العربي هذا العمل المتواضع الذي استغرق الكثير من الوقت والجهد حتى يخرج في أبهى صورة ممكنة بكل ما اكتسبته من علم وخبرة بفضل من الله- سبحانه وتعالى- وبذلك أكون قد شاركت في إثراء هذا المجال التراثي العريق.,زراعة وحيوان الأشجار المثمرة,5,مراجعات,اقتباسات,"القرّاء
3",322 صفحة,"طبعات
1",نشر سنة 2000,,https://www.abjjad.com/book/2183790749/%D9%85%D9%88%D8%B3%D9%88%D8%B9%D8%A9-%D8%A7%D9%84%D9%86%D8%AE%D9%8A%D9%84-%D9%88%D8%A7%D9%84%D8%AA%D9%85%D9%88%D8%B1/2184020125/reviews,https://abjjadst.blob.core.windows.net/pub/57458e89-566a-4bc8-ad2d-69d7be87fc75-192X290.jpg
205,ISBN 6- 1470- 10- 977,إدارة وصيانة الأراضي والمياه في الزراعات الصحراوية والجديدة,تأليف حسن محمد الشيمي (تأليف),"المؤلفون
1",تعتمد التنمية الزراعية فى الوطن العربي على محور التوسع الأفقي والتوسع الرأسي،وفى كلتا الحالتين تعتبر الموارد الأرضية والموارد المائية هما العاملين المحددين لنجاح التنمية إذا أحسن استغلالها. كما تعتبر المعلومات الأساسية فى إدارة وصيانة الموارد الأرضية والمائية فى المناطق الصحراوية أهم مقومات نجاح القائمين علي تنفيذ خطط التنمية واستمرأريتها. يبدأ هذا الكتاب باستعراض مشاكل فى المناطق الصحراوية وكيفية إدارة هذه المشاكل والتعامل معها لتحقيق أفضل إنتاج،ويلي ذلك من التعرف على معايير صلاحية المياه للري وطرق التعامل مع المشاكل الناتجة من ملاءمة الدرجات المتباينة من المياه للمحاصيل الزراعية تبعا لتحملها لظروف الجفاف والملوحة. ولا يغفل هذا المرجع أهمية المياه تعتبر أهم العوامل المحددة للتنمية الزراعية وخصوصا فى المناطق الصحراوية ومحدودية هذا الموارد فكانت الدراية بالاحتياجات المائية للمحاصيل المختلفة فى المناطق الجديدة تحت الظروف الصحراوية من أرضى ومناخ على درجة كبيرة من الأهمية للحفاظ على الموارد المائية المتاحة واستغلالها الاستغلال الأمثل . كما يلم هذا الكتاب بصور تدهور الأراضي فى المناطق الجافة وصيانتها وسبل مقاومة هذا التدهور وهو أمر هام لدوام و استمرارية التنمية فى المناطق الصحراوية . كذلك كان أحد اهتمامات هذا المرجع دراسة لتلوث الأراضي كأحد العوامل الهامة والمتوقعة لتدهور الأراضي كنتيجة للتطور الصناعي والنشاط الإنساني المتنامي.وقد جاء عرضا لاستصلاح الأراضي فى مصر كتجربة مرجعية – بدأت منذ قرن كامل للتنمية الزراعية فى الظروف الصحراوية. ويعتبر هذا الكتاب مرجعا هام فى مجال تقنيات إدارة وصيانة الموارد الأرضية والمائية فى المناطق الصحراوية لضمان تنمية زراعية مستدامة وعدم تدهور الأراضي مع الاستخدام،ويفيد هذا الكتاب المهتمين بالتنمية الزراعية،ومستثمري الأراضي الصحراوية والجديدة وكذا الدارسين فى مجال الأراضي والمياه فى الوطن العربي.,زراعة وحيوان استصلاح وري الأراضي,5,مراجعات,اقتباسات,"القرّاء
3",272 صفحة,"طبعات
1",نشر سنة 2001,,https://www.abjjad.com/book/2184053180/%D8%A7%D8%AF%D8%A7%D8%B1%D8%A9-%D9%88%D8%B5%D9%8A%D8%A7%D9%86%D8%A9-%D8%A7%D9%84%D8%A7%D8%B1%D8%A7%D8%B6%D9%8A-%D9%88%D8%A7%D9%84%D9%85%D9%8A%D8%A7%D9%87-%D9%81%D9%8A-%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D8%A7%D8%AA-%D8%A7%D9%84%D8%B5%D8%AD/2184282563/reviews,https://abjjadst.blob.core.windows.net/pub/216246eb-1c08-4174-bea8-de96bd050249-192X290.PNG
206,ISBN 9- 105- 100- 977,مزارع العنب,تأليف عز الدين فراج (تأليف),"المؤلفون
1", ,زراعة وحيوان الأشجار المثمرة,,مراجعات,اقتباسات,"القرّاء
3",160 صفحة,"طبعات
1",نشر سنة 1988,,https://www.abjjad.com/book/2184151107/%D9%85%D8%B2%D8%A7%D8%B1%D8%B9-%D8%A7%D9%84%D8%B9%D9%86%D8%A8/2184380483/reviews,https://abjjadst.blob.core.windows.net/pub/4c08ad96-176b-4f09-aa09-9c6deba40b20-192X290.PNG
207,ISBN 9775723191,الفراولة الذهب الأحمر فى القرن الجديد,تأليف يحيى خفاجى (تأليف),"المؤلفون
1",تعتبر الفراولة احد نباتات محاصيل الخضر التى تدر ربحاً كبيراً لمن يقومون بزراعتها ، ولا يقتصر إستخدام ثمار الفراولة على الإستهلاك الطازج فحسب ن بل هناك العديد من الصناعات التى تقوم على ثمارها مثل صناة المربى والعصائر والمعلبات والحفظ والتجميد ، كذلك تدخل فى صناعة الزبادى والآيس كريم ، صناعة الحلوى وغير ذلك من الصناعات .لذلك تعتبر الفراولة فى مقدمة المحاصيل الغير تقليدية مثل الخرشوف والأسبرجس .. ألخ ن والتى من الممكن أن تساهم فى النهوض بالاقتصاد القومى عن طريق فتح أبواب التصدير سواء لثمارها أو شتلاتها أو منتجاتها المصنعة .  وقد بدأ يظهر واضحاً فى السنوات القليلة الماضية بفضل الوعى وجهود رجال الزراعة المخلصين فى مجالات البحث والإرشاد و إستخدام أحدث التقنيات فى شتى المجالات للنهوض بهذا المحصول سواء إنتاجاً أو نوعية ، لذلك فقد زادت المساحة المنزرعة بالفراولة خاصة فى الأراضى الجديدة .لذلك كان من الضرورى توفير المعلومة المفيدة من مصادرها المختلفة بقدر الإمكان والتى يمكن ان تساعد القارىء والباحث والمزارع والكاتب فى تفهم وحل أية مشكلة تواجه فى أى مرحلة من مراحل نمو الفراولة . وعلى هذا جاء هذا الكتاب,زراعة وحيوان تنمية زراعية,5,مراجعات,اقتباسات,"القرّاء
3",409 صفحة,"طبعات
1",نشر سنة 2000,,https://www.abjjad.com/book/2184184068/%D8%A7%D9%84%D9%81%D8%B1%D8%A7%D9%88%D9%84%D8%A9-%D8%A7%D9%84%D8%B0%D9%87%D8%A8-%D8%A7%D9%84%D8%A7%D8%AD%D9%85%D8%B1-%D9%81%D9%89-%D8%A7%D9%84%D9%82%D8%B1%D9%86-%D8%A7%D9%84%D8%AC%D8%AF%D9%8A%D8%AF/2184413448/reviews,https://abjjadst.blob.core.windows.net/pub/e6ee63a2-efab-47eb-acc2-ddb6ecd24049-192X290.JPG
208,دار علاء الدين,البطاطا (البطاطس) زراعتها وآفاتها تخزينها وتصنيع منتجاتها,تأليف حسين علي موصللي (تأليف),"المؤلفون
1","البطاطا والتي تعرف في بعض الأقطار العربية ""بالبطاطس"" من محاصيل الخضار المهمة التي حظيت بالقسط الأوفر من الاهتمام من قبل الباحثين والعاملين في الزراعة. حرص المؤلف على تضمين هذا الكتاب كل ما يتعلق بالبطاطا: فقد بدأ بشرح الطرائق الحديثة للزراعة ومقاومة الآفات، ثم انتقل إلى الطرائق المثلى في تخزين درناتها في البرادات، وتصنيع منتجاتها المهمة: كالرقائق (الشيبس)، والبطاطا المقلية المجمدة والمجففة، والنشاء، وغيرها. كما يتحدث عن دور البطاطا في تصنيع أغذية الأطفال واللحوم المعلبة.",زراعة وحيوان الأمراض والآفات الزراعية,,مراجعات,اقتباسات,"القرّاء
3",ISBN 13 978-9933-18-515-2,"طبعات
1",نشر سنة 2000,,https://www.abjjad.com/book/2187266459/%D8%A7%D9%84%D8%A8%D8%B7%D8%A7%D8%B7%D8%A7-%D8%A7%D9%84%D8%A8%D8%B7%D8%A7%D8%B7%D8%B3-%D8%B2%D8%B1%D8%A7%D8%B9%D8%AA%D9%87%D8%A7-%D9%88%D8%A7%D9%81%D8%A7%D8%AA%D9%87%D8%A7-%D8%AA%D8%AE%D8%B2%D9%8A%D9%86%D9%87%D8%A7-%D9%88%D8%AA%D8%B5%D9%86%D9%8A/2187495858/reviews,https://abjjadst.blob.core.windows.net/pub/d4fe8b8a-b7c3-495e-81c0-a5ef20231cf6-192X290.gif
209,ISBN 13 978-9933-18-517-6,المشمش زراعته وأصنافه وآفاته تصنيع وحفظ منتجاته,تأليف حسين علي موصللي (تأليف),"المؤلفون
1",إنه كتاب يجمع بين النواحي الزراعية والتصنيعية لثمرة المشمش، فقد حرص المؤلف على تضمينه كافة النواحي المتعلقة بزراعة شجرة المشمش ومكافحة آفاتها، كما ضمّنه تصنيع منتجاتها من خشاف ونقوع وقمر الدين ومربيات ومشمش مسكَّر وأشربة .... ,زراعة وحيوان الأمراض والآفات الزراعية,4,مراجعات,اقتباسات,"القرّاء
3",144 صفحة,"طبعات
1",نشر سنة 2000,,https://www.abjjad.com/book/2187428005/%D8%A7%D9%84%D9%85%D8%B4%D9%85%D8%B4-%D8%B2%D8%B1%D8%A7%D8%B9%D8%AA%D9%87-%D9%88%D8%A7%D8%B5%D9%86%D8%A7%D9%81%D9%87-%D9%88%D8%A7%D9%81%D8%A7%D8%AA%D9%87-%D8%AA%D8%B5%D9%86%D9%8A%D8%B9-%D9%88%D8%AD%D9%81%D8%B8-%D9%85%D9%86%D8%AA%D8%AC%D8%A7/2187657388/reviews,https://abjjadst.blob.core.windows.net/pub/b9211427-c09d-456b-9f87-f5a2c1973613-192X290.gif
210,,انتاج الفاكهة: بالمملكة العربية السعودية,تأليف محمد أحمد باشة (تأليف),"المؤلفون
1",يبحث في أسس انتاج الفاكهة، والفاكهة المستديمة الخضرة، والمتساقطة الأوراق، مع ثبت بالمصطلحات العلمية. ,زراعة وحيوان إنتاج وحماية المحاصيل,,مراجعات,اقتباسات,"القرّاء
3",642 صفحة,"طبعات
1",نشر سنة 1998,,https://www.abjjad.com/book/2191032410/%D8%A7%D9%86%D8%AA%D8%A7%D8%AC-%D8%A7%D9%84%D9%81%D8%A7%D9%83%D9%87%D8%A9-%D8%A8%D8%A7%D9%84%D9%85%D9%85%D9%84%D9%83%D8%A9-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A%D8%A9-%D8%A7%D9%84%D8%B3%D8%B9%D9%88%D8%AF%D9%8A%D8%A9/2191261788/reviews,https://abjjadst.blob.core.windows.net/pub/ac0c23d7-b195-435a-89e7-db882f879cac-192X290.gif
211,المؤسسة العربية للدراسات والنشر,النباتات الطبية والفطرية: في الوطن العربي,تأليف أحمد فرج العطيات (تأليف) عدنان علي بدوان (مراجعة) عادل جرار (تقديم),"المؤلفون
3",يتحدث عن النباتات الطبية والعطرية في الوطن العربي، زراعتها، ومعالجتها، وتصنيعها وقيمتها الاقتصادية وفوائدها ومنافعها وأماكن وجودها ,زراعة وحيوان علم النبات,,مراجعات,اقتباسات,"القرّاء
3",296 صفحة,"طبعات
1",نشر سنة 1995,,https://www.abjjad.com/book/2191425879/%D8%A7%D9%84%D9%86%D8%A8%D8%A7%D8%AA%D8%A7%D8%AA-%D8%A7%D9%84%D8%B7%D8%A8%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D9%81%D8%B7%D8%B1%D9%8A%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%88%D8%B7%D9%86-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8%D9%8A/2191655255/reviews,https://abjjadst.blob.core.windows.net/pub/670cfd67-38b8-454b-a33f-c71a1584311d-192X290.gif
212,الدار العربية للتوزيع,علم الأوليات الطفيلية,تأليف محمد المجذوب الكان (تأليف),"المؤلفون
1", ,زراعة وحيوان الأمراض والآفات الزراعية,5,مراجعات,اقتباسات,"القرّاء
3",126 صفحة,"طبعات
1",نشر سنة 2003,,https://www.abjjad.com/book/2191818869/%D8%B9%D9%84%D9%85-%D8%A7%D9%84%D8%A7%D9%88%D9%84%D9%8A%D8%A7%D8%AA-%D8%A7%D9%84%D8%B7%D9%81%D9%8A%D9%84%D9%8A%D8%A9/2192048245/reviews,https://www.abjjad.com/images/ubook.jpg
213,,صناعة الالبان طويلة العمر واللبن المبستر,تأليف نادية عبد المجيد أبو زيد (تأليف),"المؤلفون
1", ,زراعة وحيوان تغذية,,مراجعات,اقتباسات,"القرّاء
3",,"طبعات
1",نشر سنة 2014,,https://www.abjjad.com/book/2192474574/%D8%B5%D9%86%D8%A7%D8%B9%D8%A9-%D8%A7%D9%84%D8%A7%D9%84%D8%A8%D8%A7%D9%86-%D8%B7%D9%88%D9%8A%D9%84%D8%A9-%D8%A7%D9%84%D8%B9%D9%85%D8%B1-%D9%88%D8%A7%D9%84%D9%84%D8%A8%D9%86-%D8%A7%D9%84%D9%85%D8%A8%D8%B3%D8%AA%D8%B1/2192703962/reviews,https://abjjadst.blob.core.windows.net/pub/b9ef3e12-0864-420c-9235-330f67ed576d-192X290.png
214,ISBN 9770131806,الإبل في التراث الشعبي الفلسطيني,تأليف سليم عرفات المبيض (تأليف),"المؤلفون
1","لقد اتجهت النية نحو دراستنا هذه ""الإبل في التراث الشعبي الفلسطيني"" لمكانتها المتمكنة، ودورها الفاعل في نفوس أبنائها المنتشرين حول مدينة غزة وجنوبها على وجه التحديد من أبناء القبائل الذين هم امتداد بشري لقبائلنا في النقب الفلسطيني، فكانت ميداناً للدراسة، هذا الميدان الرحب الذي تصل مساحته نصف مساحة فلسطين تقريباً ويعتبر بحق عقدة حضارية وفلكلورية عربية تستحق المزيد من الدراسة والبحث على كافة الأصعدة العلمية.",زراعة وحيوان علم الحيوان علوم إجتماعية التراث الشعبي عادات وتقاليد فولكلور شعبي,,مراجعات,اقتباسات,"القرّاء
3",256 صفحة,"طبعات
1",نشر سنة 1993,,https://www.abjjad.com/book/2193129478/%D8%A7%D9%84%D8%A7%D8%A8%D9%84-%D9%81%D9%8A-%D8%A7%D9%84%D8%AA%D8%B1%D8%A7%D8%AB-%D8%A7%D9%84%D8%B4%D8%B9%D8%A8%D9%8A-%D8%A7%D9%84%D9%81%D9%84%D8%B3%D8%B7%D9%8A%D9%86%D9%8A/2193358855/reviews,https://abjjadst.blob.core.windows.net/pub/013a2c73-0da8-418c-9ee7-6af2121d8a99-192X290.jpg
215,ISBN 9770163715,الزراعة المصرية في عهد الاحتلال البريطاني 1882-1914,تأليف إسماعيل محمد زين الدين (تأليف),"المؤلفون
1", ,تاريخ وجغرافيا دراسات تاريخية زراعة وحيوان زراعة عامة,,مراجعات,اقتباسات,"القرّاء
3",248 صفحة,"طبعات
1",نشر سنة 1995,,https://www.abjjad.com/book/2193359474/%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D8%A9-%D8%A7%D9%84%D9%85%D8%B5%D8%B1%D9%8A%D8%A9-%D9%81%D9%8A-%D8%B9%D9%87%D8%AF-%D8%A7%D9%84%D8%A7%D8%AD%D8%AA%D9%84%D8%A7%D9%84-%D8%A7%D9%84%D8%A8%D8%B1%D9%8A%D8%B7%D8%A7%D9%86%D9%8A-188/2193588851/reviews,https://abjjadst.blob.core.windows.net/pub/82bd4cbb-99b7-4933-8888-51546faa96fa-192X290.jpg
216,,الجرارات والآلات الزراعية,تأليف عبد الله زين الدين (تأليف),"المؤلفون
1", ,زراعة وحيوان زراعة عامة,,مراجعات,اقتباسات,"القرّاء
3",397 صفحة,"طبعات
1",نشر سنة 2006,,https://www.abjjad.com/book/2193392010/%D8%A7%D9%84%D8%AC%D8%B1%D8%A7%D8%B1%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D8%A7%D9%84%D8%A7%D8%AA-%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A%D8%A9/2193621386/reviews,https://abjjadst.blob.core.windows.net/pub/49784108-bb31-4c0a-bfc3-2a9c443070e0-192X290.gif
217,الدار العربية للموسوعات,الطرق العلمية والهندسية الحديثة لبزل الأراضي في المناطق الرطبة والجافة,تأليف رياض وصفي الصوفي (تأليف),"المؤلفون
1",نبذة النيل والفرات:لقد تم وضع هذا الكتاب لطلبة فرع الري والبزل في المعاهد التكنولوجية، وقد اعتمد فيه طريقة إعطاء المبادئ الأساسية في هندسة البزل مقرونة بالخبرة العلمية ومفصلة بالرسوم التوضيحية حتى تصبح أكثر استيعاباً واشتياقاً للطالب عند الدراسة.ويتضمن الكتاب ثمانية فصول يشتمل الأول منها على تعاريف عامة لعلم البزل، هندسته تطوره ومشاكله في العالم. ويتطرق كذلك إلى الأسس الأولية في علاقات التربة والماء وهيدرولوجية الطبقات الأرضية. أما الفصل الثاني فيتضمن وبشكل تفصيلي التحريات المتبعة في تصاميم شبكات الري والبزل. وفي الفصل الثالث فصل القول في معادلة Houghoudt (هوفاوت) ونظرية الجريان المستقر (steady state)، وتحدث الفصل الرابع والخامس والسادس عن موضوع التملح والموازنة الملحية بصورة حديثة تمثلت في تشبيه منطقة الجذور ومقطع التربة، أما مكننة البزل فقد تم تغطيتها في الفصل السابع إذ تم التطرق إلى معظم المكائن الحديثة والكلاسيكية التي تعمل في شق المبازل المغطاة والمفتوحة.وختم الكتاب بفصل ثامن خصص للحديث عن طريقة البزل في المناطق الجافة والرطبة.,زراعة وحيوان استصلاح وري الأراضي,1,مراجعات,اقتباسات,"القرّاء
3",164 صفحة,"طبعات
1",نشر سنة 2002,,https://www.abjjad.com/book/2193624572/%D8%A7%D9%84%D8%B7%D8%B1%D9%82-%D8%A7%D9%84%D8%B9%D9%84%D9%85%D9%8A%D8%A9-%D9%88%D8%A7%D9%84%D9%87%D9%86%D8%AF%D8%B3%D9%8A%D8%A9-%D8%A7%D9%84%D8%AD%D8%AF%D9%8A%D8%AB%D8%A9-%D9%84%D8%A8%D8%B2%D9%84-%D8%A7%D9%84%D8%A7%D8%B1%D8%A7%D8%B6%D9%8A/2193853955/reviews,https://abjjadst.blob.core.windows.net/pub/68a2f1ab-485c-4abe-86bf-b6b10d4822de-192X290.png
218,,مزارع الألبان واللحوم,تأليف أحمد السيد بدران (تأليف),"المؤلفون
1", ,زراعة وحيوان تغذية,5,مراجعات,اقتباسات,"القرّاء
3",414 صفحة,"طبعات
1",نشر سنة 2008,,https://www.abjjad.com/book/2196176981/%D9%85%D8%B2%D8%A7%D8%B1%D8%B9-%D8%A7%D9%84%D8%A7%D9%84%D8%A8%D8%A7%D9%86-%D9%88%D8%A7%D9%84%D9%84%D8%AD%D9%88%D9%85/2196406361/reviews,https://abjjadst.blob.core.windows.net/pub/b40a626d-99b3-43eb-80f7-dbbf7a7f3ffe-192X290.png
219,ISBN 13 9789953281537,موسوعة عالم الحيوان - الحشرات,تأليف إميلي بومون (تأليف) جوزف منصور (ترجمة),"المؤلفون
2","وسوعة جديدة، تعرفنا على عالم الحيوان بكل تنوعاته وأشكاله، ابتداءً من حيوانات ما قبل التاريخ مروراً بالحيوانات التي نراها أو نسمع عنها في كل زمان ومكان، فتكشف لنا أسرارها وعالمها الواسع وطريقة تواجدها وعيشها.

موسوعة بالفعل رائعة، تعتبر مرجعاً فريداً لكل الأولا ومرجعاً أيضاً للكبار من مختلف الأعمار. ",كتب أطفال كتب تعليمية زراعة وحيوان علم الحيوان,1,مراجعات,اقتباسات,"القرّاء
3",26 صفحة,"طبعات
1",نشر سنة 2010,,https://www.abjjad.com/book/2199912508/%D9%85%D9%88%D8%B3%D9%88%D8%B9%D8%A9-%D8%B9%D8%A7%D9%84%D9%85-%D8%A7%D9%84%D8%AD%D9%8A%D9%88%D8%A7%D9%86-%D8%A7%D9%84%D8%AD%D8%B4%D8%B1%D8%A7%D8%AA/2200141885/reviews,https://abjjadst.blob.core.windows.net/pub/6af96b22-b126-4c94-b5dc-2598ba71bf7c-192X290.jpg
220,ISBN 13 9789953281407,موسوعة الحيوانات الأليفة: الكلاب,تأليف إميلي بومون (تأليف) أنطوان الهاشم (ترجمة) ميسر عبد العال (ترجمة),"المؤلفون
3","موسوعة متخصصة، مميزة بالصور الحية والنصوص السهلة الرائعة، تكشف لنا الأسرار الصغيرة للحيوانات التي تحيط بنا، وتعرفنا على أنواعها وعالمها وتواجدها...

موسوعة مرجع، توقظ تطفل الأولاد، الذين يمكن أن يشاهدوا هذه الحيوانات عن قرب. ",كتب أطفال كتب تعليمية زراعة وحيوان علم الحيوان,1,مراجعات,اقتباسات,"القرّاء
3",26 صفحة,"طبعات
1",نشر سنة 2010,,https://www.abjjad.com/book/2199912524/%D9%85%D9%88%D8%B3%D9%88%D8%B9%D8%A9-%D8%A7%D9%84%D8%AD%D9%8A%D9%88%D8%A7%D9%86%D8%A7%D8%AA-%D8%A7%D9%84%D8%A7%D9%84%D9%8A%D9%81%D8%A9-%D8%A7%D9%84%D9%83%D9%84%D8%A7%D8%A8/2200141901/reviews,https://abjjadst.blob.core.windows.net/pub/15e43fa6-2fdc-4a20-8c89-6cc5863a3d81-192X290.jpg
221,دار حنين - مكتبة الفلاح,حشرات الخضروات والمحاصيل الحقلية العملية,تأليف نعيم شرف (تأليف) توفيق مصطفى (تأليف),"المؤلفون
2", ,زراعة وحيوان عام,3,"مراجعات
1",اقتباسات,"القرّاء
3",352 صفحة,"طبعات
1",نشر سنة 1994,,https://www.abjjad.com/book/2201387288/%D8%AD%D8%B4%D8%B1%D8%A7%D8%AA-%D8%A7%D9%84%D8%AE%D8%B6%D8%B1%D9%88%D8%A7%D8%AA-%D9%88%D8%A7%D9%84%D9%85%D8%AD%D8%A7%D8%B5%D9%8A%D9%84-%D8%A7%D9%84%D8%AD%D9%82%D9%84%D9%8A%D8%A9-%D8%A7%D9%84%D8%B9%D9%85%D9%84%D9%8A%D8%A9/2201616670/reviews,https://abjjadst.blob.core.windows.net/pub/428f04b0-ec32-49fa-8d15-8f2e0568c4d4-192X290.png
222,دار حنين - مكتبة الفلاح,مقدمة في الإرشاد الزراعي,تأليف أحمد شكري الريماوي (تأليف) حسن جمعة حماد (تأليف) خلدون عبد اللطيف الصبيحي (تأليف),"المؤلفون
3", ,زراعة وحيوان إنتاج وحماية المحاصيل,5,مراجعات,اقتباسات,"القرّاء
3",374 صفحة,"طبعات
1",نشر سنة 1996,,https://www.abjjad.com/book/2201420067/%D9%85%D9%82%D8%AF%D9%85%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D8%A7%D8%B1%D8%B4%D8%A7%D8%AF-%D8%A7%D9%84%D8%B2%D8%B1%D8%A7%D8%B9%D9%8A/2201649444/reviews,https://abjjadst.blob.core.windows.net/pub/8e7af11b-5547-4290-ac2c-6ae41183dbbb-192X290.png
223,دار المقاصد للتأليف والطباعة والنشر,نباتات الزينة في منزلك,تأليف مصطفى الرواس (تأليف),"المؤلفون
1",سلسلة موسوعية تثقيفية تهتم بتقديم دراسة علمية مفصلة عن الحيوانات والنباتات التي تعيش في بيئتنا، بشكل يهدف الى إشباع فهم القارئ الى المعرفة الصحيحة وإغناء ثقافته، بالاضافة الى مجموعة من الصور الطبيعية التي تتضمنها هذه السلسلة. الاهداف: - تزويد القارئ بكم وافر من المعلومات حول الحيوانات والنباتات على اختلاف أنواعها. - إغناء ثقافة القارئ العلمية وتوسيع أفقه. - التركيز على كل ما هو حديث ومتطور في عالمي الحيوان والنبات. - تقديم مستندات مصورة مثيرة للاهتمام تشكل مادة بحث دسمة. تتضمن هذه السلسلة: الحشرات الحيوانات البرية نباتات الزينة الحيوانات الأليفة الطيور,زراعة وحيوان علم النبات,,مراجعات,اقتباسات,"القرّاء
3",400 صفحة,"طبعات
1",نشر سنة 1987,,https://www.abjjad.com/book/2201518196/%D9%86%D8%A8%D8%A7%D8%AA%D8%A7%D8%AA-%D8%A7%D9%84%D8%B2%D9%8A%D9%86%D8%A9-%D9%81%D9%8A-%D9%85%D9%86%D8%B2%D9%84%D9%83/2201747576/reviews,https://abjjadst.blob.core.windows.net/pub/f46ea781-608f-4ce2-b3ba-62591ed1fb6b-192X290.jpg
224,دار المقاصد للتأليف والطباعة والنشر,الحشرات في منزلك,تأليف مصطفى الرواس (تأليف),"المؤلفون
1",سلسلة موسوعية تثقيفية تهتم بتقديم دراسة علمية مفصلة عن الحيوانات والنباتات التي تعيش في بيئتنا، بشكل يهدف الى إشباع فهم القارئ الى المعرفة الصحيحة وإغناء ثقافته، بالاضافة الى مجموعة من الصور الطبيعية التي تتضمنها هذه السلسلة. الاهداف: - تزويد القارئ بكم وافر من المعلومات حول الحيوانات والنباتات على اختلاف أنواعها. - إغناء ثقافة القارئ العلمية وتوسيع أفقه. - التركيز على كل ما هو حديث ومتطور في عالمي الحيوان والنبات. - تقديم مستندات مصورة مثيرة للاهتمام تشكل مادة بحث دسمة. تتضمن هذه السلسلة: الحشرات الحيوانات البرية نباتات الزينة الحيوانات الأليفة الطيور,زراعة وحيوان علم الحيوان,3,مراجعات,اقتباسات,"القرّاء
3",176 صفحة,"طبعات
1",نشر سنة 1985,,https://www.abjjad.com/book/2201649273/%D8%A7%D9%84%D8%AD%D8%B4%D8%B1%D8%A7%D8%AA-%D9%81%D9%8A-%D9%85%D9%86%D8%B2%D9%84%D9%83/2201878651/reviews,https://abjjadst.blob.core.windows.net/pub/d9e6d46f-5845-4b28-aa52-1f962a7783fd-192X290.jpg
