,ISBN,Title,Author,Authors_Number,Description,Genres,Average_Ratings,Reviews_Number,Quotes_Number,Community_Size,Pages_Number,Editions,Publication_Year,Publisher,URL,Cover_URL
456,ISBN 13 9789777196727,فدية الشرف,تأليف ألفونس دنري (تأليف) نقولا رزق الله (ترجمة),"المؤلفون
2",تكشف لنا تجارب الحياة ومِحنها حقيقة البشر ومعادنهم؛ فيظهر لنا حظهم من الفضيلة وما يدَّعونه من مبادئ، أصيلة هي أم زائفة؟ والرواية التي بين يديك تحكي بعضًا من هذه التجارب التي تلاقت حيوات أبطالها وأقدارهم. بدأت القصة عندما سقطت الحسناء «جرجونة» وأخيها «بيبو» أمام بريق الذهب، ورضيا أن يغتصبا إرثًا كبيرًا ليس من حقهما بواسطة الاحتيال وادعيا لأنفسهما اسمين جديدين ونسبًا زائفًا، ولم يكتفيا بذلك بل انطلقا مدفوعين بأنانيتهما ليلوثا حياة الشرفاء وينغصا معيشتهم؛ حيث تسعى «جرجونة» للاستحواذ على رجل متزوج هو الكونت «دي موري» غير مُبالية بتحطيم أسرته، فتوغر صدره تجاه زوجته «لورانس» مُستغلة ظهور سر مؤلم من الماضي قد يحطم حياة والدة «لورانس» ويقضي على سمعتها، فتضطر الزوجة الطيبة والابنة الصالحة أن تفتدي بشرفها سمعة أسرتها وكرامة أمها.,أدب روايات أدب أدب مترجم,4.4,"مراجعات
2","اقتباسات
2","القرّاء
256",180 صفحة,"طبعات
1",نشر سنة 2014,مؤسسة هنداوي للتعليم والثقافة,https://www.abjjad.com/book/2208432614/%D9%81%D8%AF%D9%8A%D8%A9-%D8%A7%D9%84%D8%B4%D8%B1%D9%81/2208661991/reviews,https://abjjadst.blob.core.windows.net/pub/8cd5fa7f-e350-4646-a133-6a6833d79f0c-192X290.png
457,ISBN 13 9789776416345,ظلمات وأشعة,تأليف مي زيادة (تأليف),"المؤلفون
1","قدمت مي زيادة العديد من الإسهامات الأدبية خلال رحلتها الفكرية، بيد أنها كرست الجانب الأكبر من حياتها لخدمة بني جنسها من النساء، ويعد كتاب «ظلمات وأشعة» أحد المؤلفات النسوية الرائدة التي ساهمت بها الكاتبة في النصف الأول من القرن العشرين، وهو عبارة عن مجموعة من المقالات الأدبية التي ألقتها مي 			مي زيادة (1886 - 1941) كانت شاعرة وأديبة فلسطينية، ولدت في الناصرة عام 1886، اسمها الأصلي كان ماري إلياس زيادة، واختارت لنفسها اسم مي فيما بعد. كانت تتقن ست لغات، وكان لها ديوان باللغة الفرنسية. ولدت ماري زيادة (التي عرفت باسم ميّ) في مدينة الناصرة بفلسطين عام 1886. ابنةً وحيدةً زيادة في موضوعات مختلفة بمناسبات عديدة، وتولي مي في هذا الكتاب اهتمامًا كبيرًا بقضايا المرأة الشرقية، فتركز على توعية المرأة بممارسة حقوقها المجتمعية كحقها في الحياة الكريمة والحرية، كما تناقش الكاتبة كيفية مساهمة المرأة في العصر الحديث في التقدم الحضاري والاجتماعي والسياسي والثقافي في الشرق، كل ذلك تستعرضه كاتبتنا بأسلوب بديع وأخاذ بعيد عن التكلف.	 لأب من لبنان وأم سورية الأصل فلسطينية المولد. تلقت الطفلة دراستها الابتدائية في الناصرة, والثانوية في عينطورة بلبنان. وفي العام 1907, انتقلت ميّ مع أسرتها للإقامة في القاهرة. وهناك, عملت بتدريس اللغتين الفرنسية والإنكليزية, وتابعت دراستها للألمانية والإسبانية والإيطالية. وفي الوقت ذاته, عكفت على إتقان اللغة العربية وتجويد التعبير بها. وفيما بعد, تابعت ميّ دراسات في الأدب العربي والتاريخ الإسلامي والفلسفة في جامعة القاهرة.وفى القاهرة, خالطت ميّ الكتاب والصحفيين, وأخذ نجمها يتألق كاتبة مقال اجتماعي وأدبي ونقدي, وباحثة وخطيبة. وأسست ميّ ندوة أسبوعية عرفت باسم (ندوة الثلاثاء), جمعت فيها - لعشرين عامًا - صفوة من كتاب العصر وشعرائه, كان من",أدب مقالات أدبية,3.5,"مراجعات
5","اقتباسات
20","القرّاء
255",126 صفحة,"طبعات
3",نشر سنة 2012,مؤسسة هنداوي للتعليم والثقافة,https://www.abjjad.com/book/2029977600/%D8%B8%D9%84%D9%85%D8%A7%D8%AA-%D9%88%D8%A7%D8%B4%D8%B9%D8%A9/2029977600/reviews,https://abjjadst.blob.core.windows.net/pub/4220d176-ae1a-4be0-9cc2-51e0a9c6cc27-192X290.png
458,ISBN 13 9789777194020,الباريسية الحسناء,تأليف الكونته داش (تأليف) أديب بك اسحق (ترجمة),"المؤلفون
2",نقدِّم للقارئ تلك الرواية الكلاسيكية المُعرَّبة عن الحياة الهادئة لزوجين متحابَّين، هما: «ڤكتور ديلار» الشاب الوسيم الطموح، و«ماري دملفو» القرويَّة البريئة شريفة النفس، حيث تمضي بهما الحياة سعيدةً بعد حب تَوَّجَه الزواج، ثم تصيب «ڤكتور» الأُلْفة والتعوُّد، فالملل؛ فيرى زوجته الوفيَّة مجرد قروية ساذجة، ويغفل عن جمالها الداخلي والخارجي، منجذبًا لماركيزة متزوجة، هي «أليس»، فتخلب لُبَّه بزينتها وجمالها الراقي، وطبائعها المختلفة عن طبائع بنات الريف البريئات، ليسافر إلى باريس تاركًا زوجته وأولاده خلفه متعللًا بالدراسة، وزوجته المسكينة تعلم بأمره مع «الباريسية الحسناء»، فتتبعه إلى باريس، يحدوها الحب والرغبة في الحفاظ على كيان أسرتهم، ليعود «ڤكتور» لرشده، حيث تنقذه ماري هو وحبيبته من الانتحار، فيتكشَّف له زيف غيِّه، وينبذ تلك العلاقة العابرة، ويعود لقريته مع حبه الحقيقي.,أدب روايات,3.7,"مراجعات
1",اقتباسات,"القرّاء
255",210 صفحة,"طبعات
2",نشر سنة 2013,مؤسسة هنداوي للتعليم والثقافة,https://www.abjjad.com/book/2173600962/%D8%A7%D9%84%D8%A8%D8%A7%D8%B1%D9%8A%D8%B3%D9%8A%D8%A9-%D8%A7%D9%84%D8%AD%D8%B3%D9%86%D8%A7%D8%A1/2173797585/reviews,https://abjjadst.blob.core.windows.net/pub/3197fc05-04c0-437e-8d3d-a2550c43cabe-192X290.png
459,ISBN 13 9789996659010,ارتطامٌ .. لم يسمع له دوي,تأليف بثينة العيسى (تأليف),"المؤلفون
1","تدور أحداث الرواية حول قصة طالبة تسمي ' فرح ' تفوز من قبل دولتها الكويت بشرف تمثيل بلدها في السويد لتكمل أبحاثها في علم الأحياء شريطة اجتياز الاختبار هناك من بين طلبة آخرين لدول أخري. هناك في البيئة الجديدة والغربة الموحشة بالنسبة إليها تنفجر الأسئلة من خلال بعض المواقف المفاجئة 			كاتبة كويتية حاصلة على شهادة الماجستير في إدارة الأعمال - تخصص تمويل، كلية العلوم الإدارية - جامعة الكويت 2011 بتقدير امتيازصدر لها :1. ارتطامٌ .. لم يسمع له دوي -  رواية  عن دار المدى - سوريا 20042. سعار -  رواية  عن المؤسسة العربية للدراسات و النشر والتي لا تخلو من غرابة، أو من خلال هذا الارتطام الصامت والقوي بين مواطنة ' التي هي فرح ' ومواظن ' بدون ' اسمه ' ضاري ' المقيم منذ أكثر من عشر سنوات في السويد، إنه علي ما يبدو ارتطام ' ضاري ' بالوطن من خلال ' فرح' أو إنه ارتطام الوطن بالبدون من خلال ' ضاري '، والارتطام كعنوان اختارته الكاتبة لروايتها معبر ويشي بالكثير، فالارتطام هو اصطدام بدني قوي بين جسمين أو شيئين كبيرين وثقيلين، إنه اصطدام يأتي من بعد، من مسافة كبيرة وبسرعة فائقة يحصل، انه ارتطام بين نيزك وكوكب، أو بين كوكب وآخر، إنه في هذه الرواية يأخذ رسالة قوية لمعناه: ارتطام بين وجهين أو بين وجهي شخصين أضحيا رمزا لوطن ولغربة عن الوطن، للهوية وللاهوية، فالمسافة بينهما تقاس بمدي قسوة الاغتراب ' المسافة بين الكويت والسويد ' في اللغة واللسان والوجه والمناخ والعادات والتقاليد، وفيه يقاس مدي غربة الإنسان عن ذاته أيضا، كاغتراب ' ضاري ' الذي ترعرع في الكويت ثم بعد عنها حاملا حبها بين ضلوعه، وهو العاشق الدائم لمطرها ولنخيلها.	 - بيروت 20053. عروس المطر -  رواية  عن المؤسسة العربية للدراسات والنشر - بيروت 20064. تحت أقدام الأمهات -  رواية  عن الدار العربية للعلوم ناشرون - بيروت 20095. قيس وليلى والذئب - مجموعة نصوص، عن المؤسسة العربية للدراسات والنشر - بيروت 20116. عائشة تنزل إلى العالم السفلي -  رواية  عن الدار العربية للعلوم ناشرون - بيروت 2011عضو في:  رابطة الأدباء الكويتية  اتحاد كتاب الإنترنت العربالجوائز:1. حائزة على جائزة الدولة التشجيعية عن روايتها "" سعار "" 2005/2006.2. حائزة على المركز الأول في مسابقة هيئة الشباب والرياضة 2003 - فرع القصة القصيرة.3. حائزة على",أدب روايات,3.7,"مراجعات
12","اقتباسات
6","القرّاء
254",160 صفحة,"طبعات
3",نشر سنة 2014,,https://www.abjjad.com/book/15455597/%D8%A7%D8%B1%D8%AA%D8%B7%D8%A7%D9%85-%D9%84%D9%85-%D9%8A%D8%B3%D9%85%D8%B9-%D9%84%D9%87-%D8%AF%D9%88%D9%8A/2416836767/reviews,https://abjjadst.blob.core.windows.net/pub/53aba5d6-cc1e-449c-86b3-f5e956efb87b-192X290.png
460,كلمات للنشر والتوزيع,تأملات قصيرة جداً,تأليف أدهم شرقاوي (تأليف),"المؤلفون
1","أدهم شرقاوي كاتب شاب فلسطيني الجنسية، متزوج وله من الأبناء ولد وثلاثة بنات. يعيش في لبنان.حاصل على دبلوم دار معلمين من الأونيسكو، دبلوم تربية رياضية من الأونيسكو، إجازة في الأدب العربي من الجامعة اللبنانية في بيروت ، ماجستير في الأدب العربي.ينشر كتاباته تحت اسم مستعار ألا وهو "" قس بن ساعدة "".من مؤلفاته:-عندما التقيت عمر بن الخطاب- كش ملك- خربشات خارجة عن القانون- حديث الصباح - عن شيء اسمه الحب- تأملات قصيرة جداً- نبض",أدب نصوص,3.8,"مراجعات
10","اقتباسات
52","القرّاء
253",96 صفحة,"طبعات
1",نشر سنة 2015,,https://www.abjjad.com/book/2599223298/%D8%AA%D8%A7%D9%85%D9%84%D8%A7%D8%AA-%D9%82%D8%B5%D9%8A%D8%B1%D8%A9-%D8%AC%D8%AF%D8%A7/2599485442/reviews,https://abjjadst.blob.core.windows.net/pub/1024d179-1361-4ee9-8117-92df47c98ceb-192X290.jpg
461,,الأمنيات لا تموت,تأليف عبدالله حمد (تأليف),"المؤلفون
1",مجموعة خواطر كتبت بلغة بسيطة .. ,أدب نصوص,4.2,"مراجعات
6","اقتباسات
55","القرّاء
253",95 صفحة,"طبعات
1",نشر سنة 2015,,https://www.abjjad.com/book/2636775477/%D8%A7%D9%84%D8%A7%D9%85%D9%86%D9%8A%D8%A7%D8%AA-%D9%84%D8%A7-%D8%AA%D9%85%D9%88%D8%AA/2637070389/reviews,https://abjjadst.blob.core.windows.net/pub/c0be4e67-b087-43a3-8360-bb98660b235e-192X290.png
462,ISBN 13 9882895361203,جريمة في القطار الأزرق,تأليف أجاثا كريستي (تأليف),"المؤلفون
1","هل تعلم أن أغاثا كريستي هي أشهر كاتبة للروايات البوليسية في العالم وفي كل العصور؟لقد بلغ عدد ما طبع من رواياتها أكثر من 2000 مليون نسخة، وهو رقم خيالي لم يبلغه أي مؤلف في أي زمان قط. وقد قرأ رواياتها عدد لا يحصى من الكبار والصغار والرجال والنساء في أكثر 			تُعتبر أجاثا كريستي أعظم مؤلفة في التاريخ من حيث انتشار كتبها وعدد ما بيع منها من نسخ، وهي -بلا جدال- أشهر مَن كتب قصص الجريمة في القرن العشرين وفي سائر العصور. وقد تُرجمت رواياتها إلى معظم اللغات الحية، وقارب ما طُبع منها بليونَيْ (ألفَيْ مليون) نسخة!وُلدت أجاثا كريستي في بلدة بلاد العالم وبأكثر اللغات الحية.ولدت أغاثا كريستي عام 1890 وتوفيت عام 1976، وقد كتبت عشرات الروايات والمسرحيات، وحرصت في كل ما كتبته على أن تؤكد لقرائها أن الخير ينتصر في النهاية وأن الجريمة لا تفيد.ويسرنا أن نقدم لقراء العربية هذه الطبعة الجديدة التي صحّحنا فيها ما ورد في الطبعات القديمة من أخطاء، وقد أخرجناها بهذا الشكل الجديد الذي نرجو أن يحوز رضا قرائنا الأعزاء.	 توركي بجنوب إنكلترا عام 1890 وتوفيت عام 1976 وعمرها نحو خمسة و ثمانين عاماً.لم تذهب أجاثا قطّ إلى المدرسة، بل تلقّت تعليمها في البيت على يد أمها التي دفعتها إلى الكتابة وشجعتها عليها في وقت مبكر من حياتها.تتميز قصصعا بدقة حبكتها وترابط أحداثها ومنطقية تسلسلها. تغور في أعماق النفوس البشرية محلّلةً كوامنها باحثةً عن دوافعها بعبقرية فذة وبصيرة نافذة. وقد حرصت على أن تقول لنا فيها دائماً : ""لا بد أن ينتصر الخير""، و""الجريمة لا تفيد"".",أدب روايات,4.4,"مراجعات
4","اقتباسات
3","القرّاء
252",224 صفحة,"طبعات
2",نشر سنة 2003,,https://www.abjjad.com/book/2025422848/%D8%AC%D8%B1%D9%8A%D9%85%D8%A9-%D9%81%D9%8A-%D8%A7%D9%84%D9%82%D8%B7%D8%A7%D8%B1-%D8%A7%D9%84%D8%A7%D8%B2%D8%B1%D9%82/2025422848/reviews,https://abjjadst.blob.core.windows.net/pub/77740d72-07a7-4744-ba4c-6f6a8c00c27d-192X290.jpg
463,ISBN 13 9789777192873,تاريخ آداب العرب,تأليف مصطفى صادق الرافعي (تأليف),"المؤلفون
1",كانت أعمال الرافعي مقصورة على الشعر والعناية به، قبل أن يقرر ترك منظوم الكلام ويتجه نحو منثوره، فقد حَادَ الرافعي عن مذهبه المعهود، وشرع في طريق التأليف والكتابة، وكان الكتاب الذي بين أيدينا هو بداية هذا التحوّل، ورغم حداثة عهده بالكتابة البحثية العلمية إلا أنه أخرج لنا عملًا تاريخيًّا ونقديًّا 			ولد مصطفى صادق الرافعي في يناير سنة 1880 وآثرت أمه أن تكون ولادته في بيت أبيها. دخل الرافعى المدرسة الابتدائية ونال شهادتها ثم أصيب بمرض يقال انه التيفود أقعده عدة شهور في سريره وخرج من هذا المرض مصابا في أذنيه وظل المرض يزيد عليه عاما بعد عام حتى وصل إلى رصينًا، يعِدُهُ النقاد أحد أكبر المراجع في حقله. ومما يدعو للذهول والإعجاب أن كتابًا بهذه المنزلة قد ألفه الرافعي وهو بعد شابًا في الثلاثين من عمره، وهذا يدل على ما اجتمع للشاب من حكمة وحصافة لا يبلغها في العادة إلا الكبار.	 الثلاثين من عمره وقد فقد سمعه بصورة نهائية. لم يحصل الرافعى في تعليمه النظامى على أكثر من الشهادة الابتدائية. معنى ذلك أن الرافعى كان مثل العقاد في تعليمه، فكلاهما لم يحصل على شهادة غير الشهادة الابتدائية.,أدب دراسات أدبية,4.1,"مراجعات
3",اقتباسات,"القرّاء
251",1812 صفحة,"طبعات
4",نشر سنة 2013,مؤسسة هنداوي للتعليم والثقافة,https://www.abjjad.com/book/15451333/%D8%AA%D8%A7%D8%B1%D9%8A%D8%AE-%D8%A7%D8%AF%D8%A7%D8%A8-%D8%A7%D9%84%D8%B9%D8%B1%D8%A8-1-3/2173698622/reviews,https://abjjadst.blob.core.windows.net/pub/adfd6476-1666-4997-8835-4144ad564e24-192X290.png
464,ISBN 13 9789963610884,"الشئ الآخر ""من قتل ليلى الحايك؟""",تأليف غسان كنفاني (تأليف),"المؤلفون
1","نشرت رواية ""الشيء الآخر"" للمرة الاولى في مجلة ""الحوادث"" الأسبوعية التي كانت تصدر في بيروت، على تسع حلقات متتالية ابتداءً من يوم الجمعة 25 حزيران 1966 تحت عنوان ""من قتل ليلى الحايك"". ولم يقم كنفاني بإعادة نشر الرواية في كتاب مستقل، ربما بسبب تغيّر الظروف السياسية بعد حرب حزيران 1967.ورواية 			روائي وقاص وصحفي فلسطيني تم اغتياله على يد جهاز المخابرات الإسرائيلية (الموساد) في 8 يوليو 1972 عندما كان عمره 36 عاما بتفجير سيارته في منطقة الحازمية قرب بيروت. كتب بشكل أساسي بمواضيع التحرر الفلسطيني، وهو عضو المكتب السياسي الجبهة الشعبية لتحرير فلسطين. في عام 1948 أجبر وعائلته على النزوح فعاش ""الشيء الآخر"" هي نسيج قصصي لم نألفه في نتاج كنفاني السابق أو اللاحق. فهو يكتب عملاً بوليسياً أو شبه بوليسي، ويحيل الحبكة القصصية إلى لحظات من التوتر لمعرفة القاتل، ومعرفة الظروف المحيطة بالجريمة اsلتي أودت بليلى الحايك.	 في سوريا كلاجئ فلسطيني ثم في لبنان حيث حصل على الجنسية اللبنانية. أكمل دراسته الثانوية في دمشق وحصل على شهادة البكالوريا السورية عام 1952. في ذات العام تسجّل في كلية الأدب العربي في جامعة دمشق ولكنه انقطع عن الدراسة في نهاية السنة الثانية، انضم إلى حركة القوميين العرب التي ضمه إليها جورج حبش لدى لقائهما عام 1953. ذهب إلى الكويت حيث عمل في التدريس الابتدائي، ثم انتقل إلى بيروت للعمل في مجلة الحرية (1961) التي كانت تنطق باسم الحركة مسؤولا عن القسم الثقافي فيها، ثم أصبح رئيس تحرير جريدة (المحرر) اللبنانية، وأصدر فيها(ملحق فلسطين) ثم انتقل للعمل في جريدة الأنوار",أدب قصص كتب غسّان كنفاني كتب غسّان كنفاني,3.9,"مراجعات
12","اقتباسات
3","القرّاء
251",86 صفحة,"طبعات
2",نشر سنة 2013,منشورات الرمال,https://www.abjjad.com/book/15445164/%D8%A7%D9%84%D8%B4%D8%A6-%D8%A7%D9%84%D8%A7%D8%AE%D8%B1-%D9%85%D9%86-%D9%82%D8%AA%D9%84-%D9%84%D9%8A%D9%84%D9%89-%D8%A7%D9%84%D8%AD%D8%A7%D9%8A%D9%83/2175173143/reviews,https://abjjadst.blob.core.windows.net/pub/33633d36-3c25-4b71-aa99-df989879f002-192X290.png
465,ISBN 13 9789776416437,فتح الأندلس,تأليف جرجي زيدان (تأليف),"المؤلفون
1",«روايات تاريخ الإسلام» هي سلسلة من الروايات التاريخية تتناول مراحل التاريخ الإسلامي منذ بدايته حتي العصر الحديث. ركز فيها جرجي زيدان على عنصر التشويق والإثارة، بهدف حمل الناس علي قراءة التاريخ دون كلل أو ملل، ونشر المعرفة التاريخية بين أكبر شريحة منهم، فالعمل الروائي أخف ظلا عند الناس من الدراسة 			ولد جورجي زيدان في بيروت في 14 ديسمبر 1861 لأسرة مسيحية فقيرة من قرية عين عنب في جبل لبنان. وكان أبوه حبيب زيدان رجلا أميا يملك مطعماً في ساحة البرج في بيروت يتردد عليه رجال الأدب واللغة وطلاب الكلية الأمريكية. أرسله أبوه لمدرسة متواضعة لتعلم القراءة والكتابة والحساب ليستطيع مساعدته العلمية الجادة ذات الطابع الأكاديمي المتجهم.وتدخل رواية «فتح الأندلس أو طارق بن زياد» ضمن سلسلة روايات تاريخ الإسلام. وهي الرواية الثالثة إلى جانب روايتي «فتاة القيروان» و«عبد الرحمن الناصر» التي يتناول فيها زيدان فترة الحكم الإسلامي الممتدة في الأندلس. وتتضمن هذه الرواية بيان عن التاريخ الإسباني قبيل الفتح الإسلامي، مع وصف للأحوال الاجتماعية والسياسية السائدة بين أهلها خلال حكم القوط. كما تتناول الرواية الوقائع التاريخية التي شهدت فتح الأندلس على يد القائد طارق بن زياد، ومقتل رودريك ملك القوط. وعلي الرغم من محورية شخصية طارق بن زياد كشخصية تاريخية، إلا أن البطولة الروائية كانت من نصيب فلورندا ابنة الكونت يوليان حاكم سبتة، وخطيبة ابن ملك القوط.	 في إدارة المطعم وضبط الحسابات، ثم التحق بمدرسة الشوام فتعلم اللغة الفرنسية، ثم التحق بمدرسة مسائية لتعلم اللغة الإنجليزية بعدها عمل في مطعم والده إلا أن والدته مريم مطر لم تكن راضية عن ذلك وطلبت من أبوه أن يتعلم صنعة أخرى ، فاتجه لتعلم صناعة الأحذية وهو في سن الثانية عشرة ولمدة عامين لكنه تركها لعدم رغبته في ذلك العمل. بدأ يميل إلى المعرفة والاطلاع وشغف بالأدب واحتك بالمتخرجين من الكلية الأمريكية ورجال الصحافة وأهل الفكر والأدب مثل يعقوب صروف و فارس نمر و إبراهيم اليازجي و سليم البستاني وغيرهم ، وكانوا يدعونه لحضور احتفالات الكلية. التحق بالكلية السورية البروتستانتية,أدب روايات,3.7,"مراجعات
2","اقتباسات
2","القرّاء
248",438 صفحة,"طبعات
2",نشر سنة 2012,مؤسسة هنداوي للتعليم والثقافة,https://www.abjjad.com/book/15452643/%D9%81%D8%AA%D8%AD-%D8%A7%D9%84%D8%A7%D9%86%D8%AF%D9%84%D8%B3-%D8%AC%D8%B2%D8%A1-21-%D8%B3%D9%84%D8%B3%D9%84%D8%A9-%D9%85%D9%88%D9%84%D9%81%D8%A7%D8%AA-%D8%AC%D8%B1%D8%AC%D9%8A-%D8%B2%D9%8A%D8%AF%D8%A7%D9%86/2173797172/reviews,https://abjjadst.blob.core.windows.net/pub/333b6095-13e1-4ea4-9a2b-3a87171af5e5-192X290.png
466,ISBN 13 9789778507805,مولانا,تأليف إبراهيم عيسى (تأليف),"المؤلفون
1","""• رواية جريئة توضح كيف يساء استخدام الدين• من أكثر الكتب مبيعًا • القائمة القصيرة للجائزة العالمية للرواية العربية 2013• تحولت إلى فيلم سينمائي ناجحمديح:• «من الوجهة الفنية والفكرية، رواية الموسم الإبداعي... شهادة دامغة على العصر» المصري اليوم• «عمل ملحمي، في مصاف «قصة مدينتين» للإنجليزي «تشارلز ديكنز»، أو «الحرب والسلام» 			إبراهيم عيسى، صحفي مصري ولد في نوفمبر 1965، ويتولى الآن رئاسة تحرير صحيفة الدستور المصرية اليومية.التحق بالعمل في مجلة روز اليوسف منذ أن كان طالباً في السنة الأولى من كلية الإعلام. يتولى الآن رئاسة تحرير صحيفة الدستور اليومية واسعة الانتشار في مصر، كما أنه أحد أعضاء الهيئة الاستشارية للشبكة العربية للروسي «تولستوي»، أو رائعة «باسترناك»، «دكتور زيفاجو»... كما أنها استمرار موفق لمدرسة الروائي العظيم، وأمير الرواية العربية، نجيب محفوظ... إنها تحكي تراجيديا مصر المُباركية بتكثيف مُنقطع النظير فى دقته الاجتماعية وتشويقه الروائي. لذلك تستحق جائزة الدولة فى الأدب... فهل هناك من يسمعون أو من يقرأون!؟» الوطن• «كتاب يأخذك إلى عالم سفلي ترى منه الدنيا على شاشة التلفزيون وما وراءها من أسرار... سخرية حادة على طول. لا ترحم أحدًا» الجمهورية أونلاين• «تنقل القارئ إلى تفاصيل وعلاقات مثيرة ومدهشة وتنكشف في النهاية عن مفاجآت ووقائع تدخل في دائرة المسكوت عنه وتقتحم الخطوط الحمراء في دهاليز الفساد السياسي والسلطة المستبدة» عُمان• «يشرِّح إبراهيم عيسى بجرأة شديدة ظواهر بالجملة في المجتمع، يدخل إلى حقول ألغام، و«أعشاش دبابير» قد لا يرضى عنها البعض، وينتقد بواقعية مفرطة ما حدث، وما زال يحدث... يعمد إلى سهام السخرية وخفة الدم، حتى في أحلك اللحظات، وأشدها عتمة» الإمارات اليوم• ««مولانا» التلفزيوني بطل زماننا» الحياةعن المؤلف:إبراهيم عيسى صحفي وروائي مصري من مواليد 1965. بدأ حياته المهنية مع دخوله كلية الإعلام والعمل في مجلة «روز اليوسف». أوقفت الحكومة عددًا من الصحف التي رئس تحريرها، بسبب معارضته لسياساتها، كما صادرت روايته «مقتل الرجل الكبير». حاصل على جائزة جبران تويني من الاتحاد العالمي للصحف عام 2008، وجائزة صحفي العام من اتحاد الصحافة الإنجليزية عام 2010، وجائزة «الجارديان» من منظمة «إنديكس» عام 2011. وقد اختيرت «مولانا» بالقائمة القصيرة للجائزة العربية للرواية العالمية لعام 2013 وأنتجت كفيلم سينمائي ناجح. وأحدث رواياته، «رحلة الدم»، تتصدر المبيعات وتثير الجدل لمناقشتها العديد من المسلمات في التاريخ الإسلامي.""	 لمعلومات حقوق الإنسان.يقدم برنامج الفهرس إسبوعياً على قناة دريم الفضائية، كما كان يقدم برنامج سياسي اسمه على القهوة في نفس القناة إلى أن منعت السلطات المصرية بثه. وتتميز كتاباته باسلوب ساخر وتلقائي ثاقب وعميق في الوصف والتشبيه كما إنه سهل ممتنع يتسلل إلى قلب القارىء بمهارة وحنكة بالغةنال إبراهيم عيسى، رئيس تحرير صحيفة ""الدستور"" اليومية المصرية جائزة جبران تويني لعام 2008، التي يمنحها سنويا الإتحاد العالمي للصحف (WAN) تكريما لرئيس تحرير أو ناشر صحفي في المنطقة العربية.وتثمّن هذه الجائزة، الممنوحة لتخليد ذكرى جبران تويني، الناشر الصحفي اللبناني وعضو مجلس إدارة الإتحاد العالمي للصحف الذي سقط ضحية إعتداء بسيارة مفخخة بالمتفجرات",أدب روايات كتب دار الكرمة كتب دار الكرمة,3.9,"مراجعات
34","اقتباسات
2","القرّاء
248",760 صفحة,"طبعات
3",نشر سنة 2014,دار الكرمة,https://www.abjjad.com/book/2010578944/%D9%85%D9%88%D9%84%D8%A7%D9%86%D8%A7/2740649988/reviews,https://abjjadst.blob.core.windows.net/pub/a6329de5-a7a4-49fb-96ea-2e03045a1d7e-192X290.png
467,ISBN 13 9789778200607,لست وحدك,تأليف أحمد خالد توفيق (تأليف),"المؤلفون
1",سوف نعرف أشياء أكثر عن أنفسنا، وعن الشيء الذي ينتظر هنالك عند المنعطف المظلم التالي. ستعرف لماذا ينظر لك الناس بمقت أحيانًا وينظرون لك بانبهار أحيانًا أخرى. ستعرف من القتيل في ذلك البيت الريفي الذي أغرقته الأمطار، ولماذا لم يحدث أي شيء لهيام.. لماذا رسمت هذه النقوش الغريبة على جدران 			هو طبيب وأديب مصري، ويعتبر من أشهر الكتاب في مجال أدب الرعب وأدب الشباب. ولد في مدينة طنطا عاصمة محافظة الغربية في مصر. متزوج وأب لطفلين هما محمد (12 سنة) ومريم (8 سنوات).تخرج أحمد خالد توفيق في كلية الطب في جامعة طنطا عام 1985 م وحصل على الدكتوراه في طب الكهف؟.. ولماذا لا تنغلق المقبرة إلا على ثلاثة موتى؟. سوف تعرف أكثر عن الرعب والخوف والهول.	 المناطق الحارة عام 1997 م.  يقدم أحمد خالد توفيق ستة سلاسل للروايات وصلت إلى ما يقرب من 236 عددا، وقد قام بترجمة عدد من الروايات الأجنبية ضمن سلسلة روايات عالمية للجيب. كما قدّم الترجمة العربية الوحيدة لرواية نادي القتال (fight club) للروائي الأمريكي تشاك بولانيك. كما أن له بعض التجارب الشعرية.وتُوفى إلى رحمة الله تعالى عن عمر يناهز 55 عامًا أثر أزمة صحية ألمت به(عليه رحمة الله تعالى وأسكنه الله فسيح جناته وأبدله سيئاته حسنات إن شاء الله),أدب قصص أدب أدب ساخر,3.8,"مراجعات
5","اقتباسات
2","القرّاء
248",187 صفحة,"طبعات
2",نشر سنة 2019,كيان للنشر والتوزيع,https://www.abjjad.com/book/2110685184/%D9%84%D8%B3%D8%AA-%D9%88%D8%AD%D8%AF%D9%83/2719350788/reviews,https://abjjadst.blob.core.windows.net/pub/f983025b-ac6a-4500-bd07-d8a819deb59b-192X290.png
